Aportes,,,,,,,,Valor mensal aportado,,,,,,Auxiliar Aportes x Carteira atual,,,,,,,,,Consolidado,,,,,,Aportes em Dolar,,,,,,,,,Desdobramentos,,,,Conversoes,,,,,Bonificação,,,
Data,Mês/ano,Titulo,Moeda,Investido,Qtde,I/Q,,Mês/ano,Aporte ,Aporte US$,Aporte consolidado,Acumulado,,Ação,Aportado,Percentual,Carteira Atual,Diferença,Quantidade,"0,00000000",Status,,Soma Reais,Soma Dolar,Meses,Média mensal,Diferença,,Reais,Cotação,Taxa cambio,IOF,Outras Taxas (Dolar),Dolar,Data,,,Ação,Fator,Data,,Ação,Fator,Data,,,Ação,Fator,Data,Quantidade
27/03/2019,3/2019,SMAL11,Real,"R$ 92,17","1,00000000","R$ 92,17",,6/2020,"R$ 190,81",#VALUE!,#VALUE!,#VALUE!,,BTC,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000","-R$ 131.072,00",Fora da carteira,,,,,,,,"R$ 865,00","R$ 5,34","R$ 0,00","R$ 3,29","$0,32","$161,01",15/01/2021,"R$ 5,37",,,,,,,,,,,,,,
27/03/2019,3/2019,IVVB11,Real,"R$ 117,95","1,00000000","R$ 117,95",,7/2020,"R$ 3.250,06",#VALUE!,#VALUE!,#VALUE!,,WEGE3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,Investimentos ativos,,,,,,"R$ 619,00","R$ 5,51","R$ 0,00","R$ 2,35","$0,22","$111,51",29/01/2021,"R$ 5,55",,,,,,,,,,,,,,
27/03/2019,3/2019,HGLG11,Real,"R$ 160,11","1,00000000","R$ 160,11",,8/2020,"R$ 88,72",#VALUE!,#VALUE!,#VALUE!,,SQIA3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,BOVA11,,,,,,"R$ 480,00","R$ 5,46","R$ 0,00","R$ 1,82","$0,00","$87,37",12/02/2021,"R$ 5,49",,,,,,,,,,,,,,
27/03/2019,3/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,9/2020,"R$ 47,58",#VALUE!,#VALUE!,#VALUE!,,MDIA3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,KNRI11,,,,,,"R$ 1.100,00","R$ 5,469","R$ 0,00","R$ 4,18","$0,40","$199,96",03/05/2021,"R$ 5,50",,,,,,,,,,,,,,
05/04/2019,4/2019,Devant,Real,"R$ 112,51",,#DIV/0!,,10/2020,"R$ 160,52",#VALUE!,#VALUE!,#VALUE!,,ITSA4,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,DIVO11,,,,,,"R$ 2.000,00","R$ 5,364","R$ 0,00","R$ 7,60","$0,74","$370,68",17/05/2021,"R$ 5,40",,,,,,,,,,,,,,
26/04/2019,4/2019,IVVB11,Real,"R$ 122,34","1,00000000","R$ 122,34",,11/2020,"R$ 740,62",#VALUE!,#VALUE!,#VALUE!,,GRND3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,IVV,,,,,,"R$ 1.000,00","R$ 5,173","R$ 0,00","R$ 3,80","$0,96","$191,62",15/07/2021,"R$ 5,22",,,,,,,,,,,,,,
26/04/2019,4/2019,HGLG11,Real,"R$ 159,90","1,00000000","R$ 159,90",,12/2020,"R$ 1.060,60",#VALUE!,#VALUE!,#VALUE!,,FLRY3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,NOBL,,,,,,"R$ 900,00","R$ 5,271","R$ 0,00","R$ 3,42","$0,85","$169,23",03/08/2021,"R$ 5,32",,,,,,,,,,,,,,
26/04/2019,4/2019,DIVO11,Real,"R$ 53,27","1,00000000","R$ 53,27",,1/2021,"R$ 3.534,38",#VALUE!,#VALUE!,#VALUE!,,EZTC3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,ESPO,,,,,,"R$ 2.600,00","R$ 5,3957","R$ 0,00","R$ 9,88","$4,08","$475,96",31/01/2022,"R$ 5,46",,,,,,,,,,,,,,
26/04/2019,4/2019,BOVA11,Real,"R$ 92,75","1,00000000","R$ 92,75",,2/2021,"R$ 1.584,41",#VALUE!,#VALUE!,#VALUE!,,BCFF11,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,Itaú FMP Eletrobras,,,,,,"R$ 1.000,00","R$ 5,19096","R$ 0,00","R$ 3,80","$1,63","$190,28",02/03/2022,"R$ 5,26",,,,,,,,,,,,,,
26/04/2019,4/2019,Selic 2025,Real,"R$ 805,41","1,00000000","R$ 805,41",,3/2021,"R$ 2.265,84",#VALUE!,#VALUE!,#VALUE!,,B3SA3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,NU,,,,,,"R$ 1.000,00","R$ 5,1607","R$ 0,00","R$ 3,80","$1,64","$191,40",15/03/2022,"R$ 5,22",,,,,,,,,,,,,,
26/04/2019,4/2019,Prefixado 2025,Real,"R$ 87,09","1,00000000","R$ 87,09",,4/2021,"R$ 3.143,77",#VALUE!,#VALUE!,#VALUE!,,ABEV3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,IPCA+ 2029,,,,,,"R$ 1.000,00","R$ 4,7612","R$ 0,00","R$ 3,80","$1,77","$207,45",11/04/2022,"R$ 4,82",,,,,,,,,,,,,,
26/04/2019,4/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,5/2021,"R$ 907,95",#VALUE!,#VALUE!,#VALUE!,,EMBR3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,Selic 2029,,,,,,"R$ 1.100,00","R$ 4,7428","R$ 0,00","R$ 4,18","$1,96","$229,09",14/04/2022,"R$ 4,80",,,,,,,,,,,,,,
29/04/2019,4/2019,Devant,Real,"R$ 100,00",,#DIV/0!,,6/2021,"R$ 219,07",#VALUE!,#VALUE!,#VALUE!,,SUZB3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,NSDV11,,,,,,"R$ 900,00","R$ 5,0962","R$ 0,00","R$ 3,42","$1,49","$174,43",16/05/2022,"R$ 5,16",,,,,,,,,,,,,,
29/04/2019,4/2019,MAUÁ CAPITAL AÇÕES FIC FIA,Real,"R$ 178,18",,#DIV/0!,,7/2021,"R$ 2.195,40",#VALUE!,#VALUE!,#VALUE!,,WIZC3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 363,60","R$ 5,1319","$1,00","R$ 1,38","$0,91","$69,66",16/08/2022,"R$ 5,22",,,,,,,,,,,,,,
10/05/2019,5/2019,IPCA+ 2026 Inter,Real,"R$ 36,57","1,00000000","R$ 36,57",,8/2021,"R$ 3.838,37",#VALUE!,#VALUE!,#VALUE!,,SAPR11,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 269,66","R$ 5,2766","R$ 0,00","R$ 1,02","$0,66","$50,25",15/09/2022,"R$ 5,37",,,,,,,,,,,,,,
10/05/2019,5/2019,CPLE6,Real,"R$ 92,02","20,00000000","R$ 4,60",,9/2021,"R$ 4.507,31",#VALUE!,#VALUE!,#VALUE!,,CDB Banco Maxima,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 1.884,52","R$ 5,30927","R$ 0,00","R$ 7,16","R$ 34,10","$354,95",02/12/2022,"R$ 5,31",,,,,,,,,,,,,,
27/05/2019,5/2019,BTC,Real,"R$ 18,54",,#DIV/0!,,10/2021,"R$ 1.407,39",#VALUE!,#VALUE!,#VALUE!,,IVV,"R$ 158,76","0,52%","R$ 158,760","R$ 0,00","0,23316841","R$ 680,88",Ativo,,,,,,,,"R$ 257,00","R$ 5,31786","R$ 0,00","R$ 0,98","R$ 4,65","$48,33",02/12/2022,"R$ 5,32",,,,,,,,,,,,,,
27/05/2019,5/2019,MAUÁ CAPITAL AÇÕES FIC FIA,Real,"R$ 100,00",,#DIV/0!,,11/2021,"R$ 2.903,98",#VALUE!,#VALUE!,#VALUE!,,EGIE3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 142,77","R$ 5,32093","R$ 0,00","R$ 0,54","R$ 2,58","$26,83",29/12/2022,"R$ 5,32",,,,,,,,,,,,,,
27/05/2019,5/2019,IVVB11,Real,"R$ 121,80","1,00000000","R$ 121,80",,12/2021,"R$ 826,12",#VALUE!,#VALUE!,#VALUE!,,JBSS3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 1.000,00","R$ 5,22288","R$ 0,00","R$ 3,80","R$ 18,09","$191,47",13/1/2023,"R$ 5,22",,,,,,,,,,,,,,
27/05/2019,5/2019,HGLG11,Real,"R$ 154,99","1,00000000","R$ 154,99",,1/2022,"R$ 4.516,58",#VALUE!,#VALUE!,#VALUE!,,KLBN11,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 1.500,00","R$ 5,29220","R$ 0,00","R$ 5,70","R$ 27,14","$283,43",29/03/2023,"R$ 5,29",,,,,,,,,,,,,,
27/05/2019,5/2019,CPLE6,Real,"R$ 44,71","10,00000000","R$ 4,47",,2/2022,"R$ 386,60",#VALUE!,#VALUE!,#VALUE!,,LCAM3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 1.032,96","R$ 5,21215","R$ 0,00","R$ 3,92","R$ 18,69","$198,18",30/03/2023,"R$ 5,21",,,,,,,,,,,,,,
27/05/2019,5/2019,BOVA11,Real,"R$ 91,24","1,00000000","R$ 91,24",,3/2022,"R$ 45,77",#VALUE!,#VALUE!,#VALUE!,,MGLU3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 2.000,00","R$ 5,04270","R$ 0,00","R$ 7,60","R$ 36,16","$396,61",17/05/2023,"R$ 5,04",,,,,,,,,,,,,,
27/05/2019,5/2019,Selic 2025,Real,"R$ 505,87","1,00000000","R$ 505,87",,4/2022,"R$ 845,31",#VALUE!,#VALUE!,#VALUE!,,NTCO3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 10,00","R$ 4,97179","R$ 0,00","R$ 0,04","R$ 0,18","$2,01",10/07/2023,"R$ 4,98",,,,,,,,,,,,,,
27/05/2019,5/2019,Prefixado 2025,Real,"R$ 38,12","1,00000000","R$ 38,12",,5/2022,"R$ 1.628,52",#VALUE!,#VALUE!,#VALUE!,,PETR4,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 100,00","R$ 4,97884","R$ 0,00","R$ 0,38","R$ 1,81","$20,09",10/08/2023,"R$ 4,98",,,,,,,,,,,,,,
27/05/2019,5/2019,IPCA+ Juros 2026,Real,"R$ 0,00","1,00000000","R$ 0,00",,6/2022,"R$ 3.034,22",#VALUE!,#VALUE!,#VALUE!,,VIVT4,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 50,00","R$ 5,05593","R$ 0,00","R$ 0,19","R$ 0,90","$9,89",12/09/2023,"R$ 5,06",,,,,,,,,,,,,,
25/06/2019,6/2019,BTC,Real,"R$ 16,00",,#DIV/0!,,7/2022,"R$ 4.503,54",#VALUE!,#VALUE!,#VALUE!,,VIIA3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 50,00","R$ 5,0260","R$ 0,00","R$ 0,19","R$ 0,90","$9,95",13/11/2023,"R$ 5,03",,,,,,,,,,,,,,
27/06/2019,6/2019,WEGE3,Real,"R$ 63,74","6,00000000","R$ 10,62",,8/2022,"R$ 64,93",#VALUE!,#VALUE!,#VALUE!,,ITUB4,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 50,00","R$ 5,0590","R$ 0,00","R$ 0,19","R$ 0,90","$9,88",11/12/2023,"R$ 5,06",,,,,,,,,,,,,,
27/06/2019,6/2019,SQIA3,Real,"R$ 37,87","1,00000000","R$ 37,87",,9/2022,"R$ 0,00",#VALUE!,#VALUE!,#VALUE!,,PSSA3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 50,00","R$ 5,0004","R$ 0,00","R$ 0,19","R$ 0,90","$10,00",10/01/2024,"R$ 5,00",,,,,,,,,,,,,,
27/06/2019,6/2019,SMAL11,Real,"R$ 101,12","1,00000000","R$ 101,12",,10/2022,"R$ 282,80",#VALUE!,#VALUE!,#VALUE!,,RADL3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 50,00","R$ 5,0895","R$ 0,00","R$ 0,19","R$ 0,90","$9,82",09/02/2024,"R$ 5,09",,,,,,,,,,,,,,
27/06/2019,6/2019,MDIA3,Real,"R$ 38,61","1,00000000","R$ 38,61",,11/2022,"-R$ 470,40",#VALUE!,#VALUE!,#VALUE!,,SBSP3,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 50,00","R$ 5,2141","R$ 0,00","R$ 0,19","R$ 0,90","$9,59",11/03/2024,"R$ 5,21",,,,,,,,,,,,,,
27/06/2019,6/2019,IVVB11,Real,"R$ 120,02","1,00000000","R$ 120,02",,12/2022,"R$ 1.380,39",#VALUE!,#VALUE!,#VALUE!,,HFOF11,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 50,00","R$ 5,1190","R$ 0,00","R$ 0,19","R$ 0,89","$9,77",12/03/2024,"R$ 5,12",,,,,,,,,,,,,,
27/06/2019,6/2019,ITSA4,Real,"R$ 51,44","4,00000000","R$ 12,86",,1/2023,"R$ 2.995,60",#VALUE!,#VALUE!,#VALUE!,,IPCA+ 2026,"R$ 0,00","0,00%",#N/A,#N/A,"0,00000000",#DIV/0!,Fora da carteira,,,,,,,,"R$ 50,00","R$ 5,25979","R$ 0,00","R$ 0,19","R$ 0,90","$9,51",10/05/2024,"R$ 5,26",,,,,,,,,,,,,,
