Histórico de proventos,,,,,,,,Proventos por ativo,,,,Proventos por mês,,,,,,Total Reais,Total Dolar*,Média mensal
Data Pagamento,Mês/ano,Corretora,Ativo,Moeda,Valor,Tipo,,Ativo,Soma,Percentual,,Mês/ano,Proventos Reais,Proventos Dolar,Consolidado,% do total,,"R$ 23.007,85",#VALUE!,#VALUE!
13/03/2020,3/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 4,44",Rendimentos,,,,,,2/2024,"R$ 425,05",#VALUE!,#VALUE!,#VALUE!,,,,
01/04/2020,4/2020,AVENUE SECURITIES LLC,IVV,Dolar,"$0,38",Dividendo,,,,,,3/2024,"R$ 503,59",#VALUE!,#VALUE!,#VALUE!,,,,
01/04/2020,4/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 0,60",Dividendo,,,,,,4/2024,"R$ 568,57",#VALUE!,#VALUE!,#VALUE!,,,,
07/04/2020,4/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 0,50",Dividendo,,,,,,5/2024,"R$ 423,61",#VALUE!,#VALUE!,#VALUE!,,,,
07/04/2020,4/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 0,37",Juros sobre capital próprio,,,,,,6/2024,"R$ 534,41",#VALUE!,#VALUE!,#VALUE!,,,,
15/04/2020,4/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 27,20",Rendimentos,,,,,,7/2024,"R$ 418,22",#VALUE!,#VALUE!,#VALUE!,,,,
15/04/2020,4/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 14,82",Rendimentos,,,,,,8/2024,"R$ 586,14",#VALUE!,#VALUE!,#VALUE!,,,,
15/04/2020,4/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 11,70",Rendimentos,,,,,,9/2024,"R$ 409,11",#VALUE!,#VALUE!,#VALUE!,,,,
15/04/2020,4/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 21,00",Rendimentos,,,,,,10/2024,"R$ 577,62",#VALUE!,#VALUE!,#VALUE!,,,,
23/04/2020,4/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BOVA11,Real,"R$ 0,22",Aluguel de ações,,,,,,11/2024,"R$ 471,07",#VALUE!,#VALUE!,#VALUE!,,,,
29/04/2020,4/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,IVVB11,Real,"R$ 0,03",Aluguel de ações,,,,,,12/2024,"R$ 1.220,15",#VALUE!,#VALUE!,#VALUE!,,,,
30/04/2020,4/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,MDIA3,Real,"R$ 2,13",Juros sobre capital próprio,,,,,,1/2025,"R$ 145,55",#VALUE!,#VALUE!,#VALUE!,,,,
04/05/2020,5/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITUB4,Real,"R$ 0,01",Dividendo,,,,,,2/2025,"R$ 145,20",#VALUE!,#VALUE!,#VALUE!,,,,
07/05/2020,5/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 0,95",Dividendo,,,,,,3/2025,"R$ 321,56",#VALUE!,#VALUE!,#VALUE!,,,,
14/05/2020,5/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,SLCE3,Real,"R$ 0,78",Dividendo,,,,,,4/2025,"R$ 153,47",#VALUE!,#VALUE!,#VALUE!,,,,
15/05/2020,5/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 28,80",Rendimentos,,,,,,5/2025,"R$ 335,42",#VALUE!,#VALUE!,#VALUE!,,,,
15/05/2020,5/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 28,08",Rendimentos,,,,,,6/2025,,,,,,,,
15/05/2020,5/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 44,84",Rendimentos,,,,,,7/2025,,,,,,,,
15/05/2020,5/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 24,05",Rendimentos,,,,,,8/2025,,,,,,,,
20/05/2020,5/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GRND3,Real,"R$ 3,84",Juros sobre capital próprio,,,,,,9/2025,,,,,,,,
